type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
W1,2024-01-18T02:30:00+01:00,2024-01-18T05:30:00+01:00,2024-01-18 02:30:00,2024-01-18 05:30:00,7,3.5,1
W1,2024-01-20T20:30:00+01:00,2024-01-22T05:30:00+01:00,2024-01-20 20:30:00,2024-01-22 05:30:00,67,33.5,3
W1,2024-01-22T22:00:00+01:00,2024-01-23T05:30:00+01:00,2024-01-22 22:00:00,2024-01-23 05:30:00,16,8.0,2
W1,2024-01-23T22:00:00+01:00,2024-01-24T05:30:00+01:00,2024-01-23 22:00:00,2024-01-24 05:30:00,16,8.0,2
W1,2024-01-26T01:00:00+01:00,2024-01-26T05:30:00+01:00,2024-01-26 01:00:00,2024-01-26 05:30:00,10,5.0,1
W1,2024-01-28T04:00:00+01:00,2024-01-28T11:00:00+01:00,2024-01-28 04:00:00,2024-01-28 11:00:00,15,7.5,1
W1,2024-01-28T18:30:00+01:00,2024-01-29T02:30:00+01:00,2024-01-28 18:30:00,2024-01-29 02:30:00,17,8.5,2
W1,2024-01-29T22:00:00+01:00,2024-01-30T01:30:00+01:00,2024-01-29 22:00:00,2024-01-30 01:30:00,8,4.0,2
W1,2024-01-31T23:00:00+01:00,2024-02-01T04:00:00+01:00,2024-01-31 23:00:00,2024-02-01 04:00:00,11,5.5,2
W1,2024-02-02T22:00:00+01:00,2024-02-02T22:00:00+01:00,2024-02-02 22:00:00,2024-02-02 22:00:00,1,0.5,1
W1,2024-02-04T13:00:00+01:00,2024-02-04T22:00:00+01:00,2024-02-04 13:00:00,2024-02-04 22:00:00,19,9.5,1
W1,2024-02-05T22:00:00+01:00,2024-02-06T05:30:00+01:00,2024-02-05 22:00:00,2024-02-06 05:30:00,16,8.0,2
W1,2024-02-06T22:00:00+01:00,2024-02-07T05:30:00+01:00,2024-02-06 22:00:00,2024-02-07 05:30:00,16,8.0,2
W1,2024-02-07T22:00:00+01:00,2024-02-08T05:30:00+01:00,2024-02-07 22:00:00,2024-02-08 05:30:00,16,8.0,2
W1,2024-02-08T22:00:00+01:00,2024-02-09T05:30:00+01:00,2024-02-08 22:00:00,2024-02-09 05:30:00,16,8.0,2
W1,2024-02-09T22:00:00+01:00,2024-02-10T00:00:00+01:00,2024-02-09 22:00:00,2024-02-10 00:00:00,5,2.5,2
W1,2024-02-10T19:30:00+01:00,2024-02-11T21:00:00+01:00,2024-02-10 19:30:00,2024-02-11 21:00:00,52,26.0,2
